"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",40228
"af","Africa","afbdi","Burundi","bdi",81
"af","Africa","afbfa","Burkina Faso","bfa",687
"af","Africa","afbwa","Botswana","bwa",11516
"af","Africa","afciv","Cote d'Ivoire","civ",393489
"af","Africa","afegy","Egypt","egy",87732
"af","Africa","afgha","Ghana","gha",1175121
"af","Africa","afken","Kenya","ken",106693
"af","Africa","afmar","Morocco","mar",208409
"af","Africa","afmdg","Madagascar","mdg",4632
"af","Africa","afmus","Mauritius","mus",19235
"af","Africa","afnam","Namibia","nam",6817
"af","Africa","aftza","Tanzania","tza",275288
"af","Africa","afuga","Uganda","uga",13022
"af","Africa","afzaf","South Africa","zaf",3892843
"as","Asia","asare","United Arab Emirates","are",55938860
"as","Asia","asarm","Armenia","arm",10402
"as","Asia","asaze","Azerbaijan","aze",6450
"as","Asia","asbhr","Bahrain","bhr",22955
"as","Asia","asbrn","Brunei","brn",848
"as","Asia","aschn","China","chn",819540156
"as","Asia","ascyp","Cyprus","cyp",268548
"as","Asia","asgeo","Georgia","geo",14408
"as","Asia","ashkg","Hong Kong","hkg",41846047
"as","Asia","asidn","Indonesia","idn",269660
"as","Asia","asind","India","ind",4246598
"as","Asia","asisr","Israel","isr",4092000
"as","Asia","asjor","Jordan","jor",23166
"as","Asia","asjpn","Japan","jpn",1793730740
"as","Asia","askaz","Kazakhstan","kaz",420321
"as","Asia","askor","South Korea","kor",339131130
"as","Asia","askwt","Kuwait","kwt",24706
"as","Asia","aslbn","Lebanon","lbn",151011
"as","Asia","asmmr","Burma","mmr",645898
"as","Asia","asmys","Malaysia","mys",158818248
"as","Asia","asomn","Oman","omn",759135
"as","Asia","aspak","Pakistan","pak",38368
"as","Asia","asphl","Philippines","phl",675059
"as","Asia","aspse","Palestine","pse",556
"as","Asia","asqat","Qatar","qat",11759
"as","Asia","assau","Saudi Arabia","sau",577809
"as","Asia","assgp","Singapore","sgp",78953566
"as","Asia","astha","Thailand","tha",6374031
"as","Asia","astur","Turkey","tur",8096937
"eu","Europe","euand","Andorra","and",4316
"eu","Europe","euaut","Austria","aut",7864714
"eu","Europe","eubel","Belgium","bel",889308397
"eu","Europe","eubgr","Bulgaria","bgr",3041034
"eu","Europe","eubih","Bosnia and Herzegovina","bih",70384
"eu","Europe","eublr","Belarus","blr",568400
"eu","Europe","euche","Switzerland","che",9638257
"eu","Europe","eucze","Czechia","cze",13459432
"eu","Europe","eudeu","Germany","deu",1130974796
"eu","Europe","eudnk","Denmark","dnk",1809679
"eu","Europe","euesp","Spain","esp",55307825
"eu","Europe","euest","Estonia","est",114862
"eu","Europe","eufin","Finland","fin",676597
"eu","Europe","eufra","France","fra",129316084
"eu","Europe","eugbr","United Kingdom","gbr",119645215
"eu","Europe","eugrc","Greece","grc",2588484
"eu","Europe","euhrv","Croatia","hrv",2606028
"eu","Europe","euhun","Hungary","hun",8055935
"eu","Europe","euirl","Ireland","irl",45870872
"eu","Europe","euisl","Iceland","isl",265
"eu","Europe","euita","Italy","ita",50305549
"eu","Europe","eultu","Lithuania","ltu",16622866
"eu","Europe","eulux","Luxembourg","lux",4811440
"eu","Europe","eulva","Latvia","lva",4700773
"eu","Europe","eumda","Moldova","mda",7300
"eu","Europe","eumkd","North Macedonia","mkd",9038
"eu","Europe","eumlt","Malta","mlt",55991
"eu","Europe","eunld","Netherlands","nld",602747382
"eu","Europe","eunor","Norway","nor",137174
"eu","Europe","eupol","Poland","pol",25610380
"eu","Europe","euprt","Portugal","prt",3747737
"eu","Europe","eurou","Romania","rou",2180115
"eu","Europe","eurus","Russia","rus",6338674
"eu","Europe","eusrb","Serbia","srb",1150874
"eu","Europe","eusvk","Slovakia","svk",4397798
"eu","Europe","eusvn","Slovenia","svn",4983228
"eu","Europe","euswe","Sweden","swe",8053080
"eu","Europe","euukr","Ukraine","ukr",206106
"na","North America","nabrb","Barbados","brb",46151
"na","North America","nacan","Canada","can",3690895
"na","North America","nacri","Costa Rica","cri",282773
"na","North America","namex","Mexico","mex",27327664
"na","North America","nanic","Nicaragua","nic",24767
"na","North America","naslv","El Salvador","slv",87068
"na","North America","nausa","United States","usa",1634265493
"oc","Oceania","ocaus","Australia","aus",5349975
"oc","Oceania","ocfji","Fiji","fji",5650
"oc","Oceania","ocnzl","New Zealand","nzl",918860
"sa","South America","saarg","Argentina","arg",194211
"sa","South America","sabol","Bolivia","bol",6653
"sa","South America","sabra","Brazil","bra",26503552
"sa","South America","sachl","Chile","chl",1994095
"sa","South America","sacol","Colombia","col",410150
"sa","South America","saecu","Ecuador","ecu",87317
"sa","South America","saper","Peru","per",406734
"sa","South America","sapry","Paraguay","pry",3000
"sa","South America","saury","Uruguay","ury",10650
"xx",,"xxwld","Rest of the world","wld",334974258