Make,Name,Dates,Base,ISO,Process,Type,Details,Origin,Formats
Polaroid,i-type film,available,N/A,640,Instant,Print,"General purpose instant color or black and white film. As with Fujifilm's Instax film, various frame styles are available.",Netherlands,107x 88mm
Polaroid,600 film,2015-,N/A,640,Instant,Print,General purpose instant color or black and white film. Various frame styles.,Netherlands,107x 88mm
Polaroid,SX-70 film,2013-,N/A,160,Instant,Print,General purpose instant color or black and white (ISO 160) film. Various frame styles,Netherlands,107x 88mm
Polaroid,8 x 10 film,available,N/A,640,Instant,Print,General purpose instant color or black and white film.,Netherlands,"325x 215mm (8x10"")"
Kodak,Ektachrome E100,2018-,T,100,E-6,Slide,Professional v fine grain film with moderate saturation and neutral tones. Based on a reformulation of Ektachrome E100G (last available in 2012). Launched at Photokina September 2018 in 135 format. 120 and sheet film formats went on sale in December 2019.,USA,"135–36, 120, 4x5"", 8x10"""
Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films,Consumer films
Kodak,ColorPlus 200,1990-,P,200,C-41,Print,"General purpose budget color film. Mid 1980s Kodacolor VR 200 re-introduced as a budget offer to Gold 200, (not USA market), no datasheet available. Moved to estar base in 2021.",USA,135-24 /36
Kodak,Pro Image 100,1997-,P,E.I 100*,C-41,Print,"Budget 'Professional' color film with neutral skin tones for portraits, weddings and social events, more saturated colors than Portra. *An E.I.100 film (ISO ca. 160) originally made for selected markets with hot climates (Latin America & SE Asia) without needing cold storage. Derived from Gold v6 films and uses a Kodak Gold print profile. In 2018 Kodak added it to official distribution in Europe. Estar base from 2023 and in 2019 to North America.",USA,135-36
Kodak,Gold 200,2007-,P,200,C-41,Print,"General purpose consumer color film (GB) with saturated colours, fine grain and high sharpness. Kodacolor Gold films introduced in 1988. Kodak Gold (v6) from 1997, current v7 introduced 2007. Estar base from 2023.  120 format reintroduced in March 2022.",USA,"135-24 /36, 120"
Kodak,Ultra Max 400,2007-,P,400,C-41,Print,General purpose 'all conditions' consumer film (GC) with bright vibrant colors and natural skin-tones. Called Gold 400 1997 to 2007. Estar base from 2023.,USA,135-24 /36
Kodak,Ultra Max 800,2007-,T,800,C-41,Print,General purpose high speed consumer film with bright vibrant colors and natural skin-tones. Since 2008 only sold in Kodak Single Use Cameras,USA,SUC-27/39
Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films,Professional films
Kodak,Ektar 100,2008-,T/P,100,C-41,Print,"Professional fine grain film with ultra-vivid colors for nature, travel & fashion photography. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 160,2011-,T/P,160,C-41,Print,"Professional, Very fine grain film with natural colors and low contrast/saturation for portraits, fashion & wedding photography. Vision 3 technology. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 400,2010-,T/P,400,C-41,Print,"Professional, fine grain film with natural colors for portraits, fashion & commercial photography. Slightly higher contrast than Portra 160. Vision 3 technology. Sheet film - PET base.",USA,"135–36, 120, 4x5"", 8x10"""
Kodak,Portra 800,1998-,P,800,C-41,Print,"Professional, fine grain film with natural colors for low light situations. Estar base from 2021.",USA,"135–36, 120"
Kodak,Tri-X,1940- / 2007-,T/P,320/ 400,B&W,Print,"Traditional cubic grain panchromatic film with high contrast and re-known for its use in photojournalism. Introduced in 1940 as sheet film and in 1954 in other formats (TX), re-engineered in 2007 with a finer grain. A Tri-X single use camera was added in 2021. Sheet film - PET base ISO 320 (TXP).",USA,"135-24 /36 & 100 ft, 120, 4x5"", 5x7"", 8x10"""
Kodak,T-MAX 100,1986-,T/P,100,B&W,Print,Modern general purpose continuous tone 'T' grain panchromatic film (TMX). Sheet film - PET base.,USA,"135-24 /36 & 100 ft, 120, 4x5"""
Kodak,T-MAX 400,2008-,T/P,400,B&W,Print,"Modern general purpose continuous tone 'T' grain panchromatic film, introduced in 1986, revised in 2008 (TMY-2). Sheet Film - PET Base.",USA,"135-24 /36 & 100 ft, 120, 4x5"""
Kodak,T-MAX P3200,"1988–2012, 2018-",T,800,B&W,Print,Multi -speed continuous tone 'T' grain panchromatic film. Launched in 1998 the film was discontinued in 2012. Re-introduced in March 2018. The “P” means although it is an ISO 800 film it is designed to be push processed to an EI 3200 or higher (TMZ).,USA,135–36
Kentmere,PAN 100,2009-,T,100,B&W,Print,"General purpose, panchromatic film with a broad tonal range with ‘medium’ contrast. Finer grain than PAN 400, and a touch more contrast.",UK,"135-24 /36, & 30.5m, 120"
Kentmere,PAN 400,2009-,T,400,B&W,Print,"General purpose, panchromatic film with excellent ‘push’ characteristics. More noticeable grain than PAN 100, touch less contrast and better latitude for pushing.",UK,"135-24 /36 & 30.5m, 120"
ILFORD,ILFOCOLOR 400 Vintage tone,2023-,T,400,C-41,Print,General purpose color film with 1990s 'retro' tones. Packaged in China,China,"135–24, SUC"
ILFORD,Pan 100,available,T,100,B&W,Print,General purpose budget panchromatic film for selected markets (parallel import back into UK),UK,135-36 & 30.5m
ILFORD,Pan 400,available,T,400,B&W,Print,General purpose budget panchromatic film for selected markets (parallel import back into UK),UK,135-36 & 30.5m
ILFORD,Pan F Plus,1992-,T,50,B&W,Print,"Very fine grain panchromatic film for portraiture, architecture, still life. Poor image latency so needs to be developed promptly.",UK,"135–36 & 30.5m, 120"
ILFORD,FP4 Plus,1990-,T,125,B&W,Print,"Fine grain, general purpose panchromatic film with a wide exposure latitude. Originally launched as Ilford Fine grain Panchromatic emulsion in 1935.",UK,"135-24 /36 & 17/ 30.5m, 120, Sheet film"
ILFORD,HP5 Plus,1989-,T,400,B&W,Print,"Medium contrast, general purpose panchromatic film with a wide exposure latitude. A film tracing its heritage back to the Ilford HyPer sensitive emulsion in 1931. Well suited to photojournalism. Available as a Single use camera.",UK,"135-24 /36 & 17 /30.5m, 120, Sheet film, SUC-27"
ILFORD,DELTA 100,1992-,T,100,B&W,Print,"Very fine grain modern panchromatic professional film using core-shell crystal technology, Ilford's response to Kodak T-MAX.",UK,"135-24 /36 & 30.5m, 120, Sheet film"
ILFORD,DELTA 400,2001- (rev),T,400,B&W,Print,"Fine grain modern panchromatic professional film using core-shell crystal technology, first released 1990, Ilford's response to Kodak T-MAX.",UK,"135-24 /36 & 30.5m, 120"
ILFORD,DELTA 3200,1998-,T,1000,B&W,Print,Modern panchromatic professional film using core-shell crystal technology for fast action and low light photography. An ISO 1000 film suitable for push processing to an E.I. of 3200 or higher.,UK,"135–36, 120"
ILFORD,ORTHO PLUS,available/ *11/2019-,T/P,80D 40T,B&W,Print,"Very fine grain Orthochromatic film for continuous tone copy work, B&W duplicating, alternative processes, creative portraiture and architectural photography. The blue and green sensitivity enables the film to be handled in red safelight and processing by inspection. *The addition of 135 and 120 formats was announced in October 2019, on sale from November 2019.",UK,"135–36, 120, Sheet film"
ILFORD,SFX 200,Re-intro 2007,T,200,B&W,Print,"Super-panchromatic film with extended red sensitivity up to about 750 nm. To achieve moderate IR effects requires a very deep red filter (Heliopan 715, Hoya R72 or the Ilford SFX filter) or deep red filter otherwise it will give similar results to HP5 upon which it is based.",UK,"135–36, 120"
ILFORD,XP2 Super,available,T,400,C-41,Print,"(Chromogenic Dye) C-41 process B&W film. Replaced XP2 Plus, Ilford decided not to call it XP3. Available as a Single use camera.",UK,"135-24 /36 & 30.5m, 120, SUC-27"
Harman,Phoenix 200,2023-,T,200,C-41,Print,An experimental colour negative film with strong contrast and no anti-halation layer,UK,135-36
FUJIFILM,Instax mini,1998-,N/A,800,Instant,Print,"General purpose, credit card-sized, instant film available in color (daylight balanced) or black and white, with various frame styles. Print: 54 mm × 86 mm, image size, 46 mm × 62 mm.",Japan,46 mm × 62 mm
FUJIFILM,Instax wide,1999-,N/A,800,Instant,Print,"General purpose, landscape format, daylight balanced instant color film. Print: 108 mm × 86 mm, image size 99 mm × 62 mm.",Japan,99 mm × 62 mm
FUJIFILM,Instax Square,2017-,N/A,800,Instant,Print,"General purpose, Square-format, daylight balanced instant color film. Print: 72 mm × 85.6 mm, image size 62 mm × 62 mm",Japan,62 mm × 62 mm
FUJIFILM,Fujichrome Velvia 50,2007-,T/P,50,E-6,Slide,"Professional-quality, saturated vivid natural colors for nature/landscape photography (RVP 50). Replacement for the original Velvia 50, which was discontinued owing to availability issues with original chemistry. 135 & 120 (T base), sheet film 4x5"", 5x7"", 8x10"" (P base). Discontinued SKU; Sheet films,  Europe/USA in 2012, 5x7"" in 2013 Japan, 220 in 2015  All sheet films discontinued in Japan 10/2021.",Japan,"135–36, 120"
FUJIFILM,Fujichrome Velvia 100,2005- (To 2021 US),T/P,100,E-6,Slide,"Professional-quality, saturated vivid natural colors for nature, landscape and travel photography. (RVP 100) 135 & 120 (T base), sheet film 4x5"", 5x7"", 8x10"" (P base). Discontinued; 5x7"" (2013), 220 (2015), 8x10"" (Europe/USA). In 2021 All formats were discontinued in the US due to the presence of minuscule quantities of a chemical banned by the EPA.",Japan,"135–36, 120, 4x5"" (8x10"" JP only) Not US"
FUJIFILM,Fujichrome Provia 100F,1999-,T/P,100,E-6,Slide,"Professional-quality, fine grain general purpose color slide film with natural colours (RDP III). 135 & 120 (T base), sheet film 4x5"", 8x10"" (P base). Discontinued; 5x7"" (2013), 220 (2015)",Japan,"135–36, 120, 4x5"", 8x10"""
Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets),Consumer films - Japan (Parallel import in other markets)
FUJIFILM,FujiColor 100,available,T,100,C-41,Print,General purpose color film with natural skin tones updated 2011 with super fine grain technology and sold in retail single roll /3 packs and bulk 100 roll plain packs for the business market (Often split by retailers to sell as a budget film). Japan market product. Discontinued SKU; 3 roll packs 03/2020; 24 exp rolls 1/2022.,Japan,135-36
FUJIFILM,FujiColor Superia Premium 400,2009-,T,400,C-41,Print,Variant of Superia 400 X-tra film with improved exposure latitude and optimised for reproduction of Japanese skin tones. Japan/Asia market product. (code CH24). Discontinued SKU; 3 roll packs in 3/2020. 27 exp rolls in 3/2022.,Japan,135-36
Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan,Consumer films - Worldwide excluding Japan
FUJIFILM,200,2021-,T,200,C-41,Print,"General purpose color film replacing C200 in North America in 2021 and Europe in 2022, without FujiColor branding and 'C' prefix. (Code CA24). Later identified as re-branded Kodak Gold 200.",USA or Japan,135-36
FUJIFILM,400,2023-,T,400,C-41,Print,'All conditions' consumer color film replacing FujiColor Superia X-Tra in North America market in Spring 2023. Manufacture by Eastman Kodak. Single rolls and 3-packs,USA,135-36
FUJIFILM,FujiColor Superia X-tra 400,2003-,T,400,C-41,Print,"'All conditions' consumer color film updated 2011, with improved shelf life and super uniform fine grain technology. (Originally with a 4th cyan colour layer for improved colors under fluorescent lighting, omitted in recent revisions) (code CH23). Discontinued SKU; 120 in 2013; 135 x3 (except Japan/US) and 24 exp rolls in 2017. Not Japan market from Jan 2019 to early 2023.",Japan,135-36
FUJIFILM,Neopan ACROS 100 II,11.2019-,T,100,B&W,Print,"Reformulation of ACROS 100 which was discontinued in 2018. A fine-grain ortho-panchromatic 'T' grain film noted for its low rate of reciprocity failure. Film manufacture by Fujifilm, Ashigara, Japan with 120 format conversion and packaging by Harman Technology, UK.",Japan /UK,"135–36, 120"
Foma,FOMAPAN R 100,available,P,100,B&W,Slide,"B&W reversal film, intended for B&W motion picture movie making (Cine film) and also converted for still camera use. Processing available through DR5 (USA) or Photo Studio 13 (DE) or using Foma Direct Reversal Kit.",Czech Rep.,135
Foma,FOMAPAN 100 'Classic',available,T/P,100,B&W,Print,"Traditional general purpose panchromatic fine grain film. 135 (T base), 120, Sheet film (P base).",Czech Rep.,"135-24/36 & 17m/30m, 120, Sheet film"
Foma,FOMAPAN 200 'Creative',2015-,T/P,200,B&W,Print,"Modern general purpose panchromatic film using both hexagonal core and shell tabular 'T' grains. Formats: 135 (T base), 120, Sheet film (P base).",Czech Rep.,"135-24/36 & 17m/30m, 120, Sheet film"
Foma,FOMAPAN 400 'Action',available,T/P,400,B&W,Print,"Traditional general purpose panchromatic film. 135 (T base), 120, Sheet film (P base).",Czech Rep.,"135-24/36 & 17m/30m, 120, Sheet film"
Foma,RETRO PAN 320 'Soft',2015-2021,T/P,320,B&W,Print,"Retro 1950s style traditional panchromatic film characterised by a wide range of half tones and 'soft' images. 135 (T base), 120, Sheet film (P base). 120 format from 2018. 135 format was discontinued in 2019.",Czech Rep.,"120, Sheet film"
Foma,Foma Ortho 400,2023-,P,400,B&W,Print,Orthochromatically sensitized B&W fine grain film. Only available in 120.,Czech Rep.,120
FPP,Retrochrome 400,available,T,400,E-6,Slide,"Eastman Ektachrome color positive film made for industrial and governmental applications. Color reversal camera film that is intended for photography under daylight illumination. Expired 2004, but considered to still achieve ISO. DX coded",USA,135-36
FPP,Low ISO Color,available,?,1.6,C-41,Print,"Kodak low-speed duplicating film intended for making digital dupes in motion picture post production. When used in a camera this film will produce a film negative and soft, shifted colors. No rem jet layer. Non standard anti-halation layer.",USA,135-24
FPP,Blue Ultra Color,available,P,3,C-41,Print,"Originally intended for making contact prints in motion picture post production. When used in camera this film will produce a film negative and soft, blue/violet colors. Non standard anti-halation layer.",?,135-24
FPP,Basic color film,available,P,100,C-41,Print,Bright vibrant colors,?,620
FPP,Super Positive Film,available,T/P,0.8,B&W,Print,"Orthochromatic, low contrast, low iso BW positive film. This film is a Dactylographic film, used in the study of finger prints. This film will produce a BW positive when processed in standard BW chemistry.",,135-24
FPP,Mz3 Fine Grain,available,P,3,B&W,Print,"Black and white, very slow speed, blue sensitive film with fine grain",?,135-24
FPP,Eastman Kodak 5302 Fine Grain,available,P,3,B&W,Print,Blue sensitive positive motion picture film originally designed for direct contact copying titles and mats in motion picture work. Blue sensitive film needs to be shot in daylight or flash/strobe. Avoid yellow filtration and shooting in indoor/tungsten light.,USA,135-24
FPP,X-Ray Film,available,T/P,5-10,B&W,Print,"Orthochromatic film with Blue/Green sensitivity, can be processed by inspection under red light.",?,4x5
FPP,Fine Grain Six,available,P,6,B&W,Print,"Film intended for making archival black-and-white separation positives from color negative originals. Other product applications for this film include special effects, density cover mattes, panchromatic masters from black-and-white negatives, and restoration work.",?,135-24
FPP,Low ISO Black & White,available,P,6,B&W,Print,"This film will produce a film negative and produce very fine grain. This blue-sensitive black-and-white film has very high resolution and incorporates a yellow dye, which is removed during processing, to provide very high sharpness. Blue Sensitive films need to be shot in daylight or using a flash/strobe. Avoid using a yellow filter or shooting in tungsten (indoor) light.",?,135-24
FPP,Blue Sensitive,available,P,6,B&W,Print,Blue-sensitive black-and-white film needs to be shot in daylight or using a flash/strobe. Avoid using a yellow filter or shooting in tungsten (indoor) light.,?,135-24
FPP,Sonic 25 BW Film,available,T?,25,B&W,Print,"High contrast, fine grained Orthochromatic blue sensitive film was manufactured for optical sound recording but will produce fine-grain images, for shooting in daylight or with daylight balanced lights.",?,135-24
FPP,Eastman Kodak Hi-Con 2369,available,P,25,B&W,Print,"High-contrast, panchromatic film with ultra-high resolving power, excellent definition and amazing sharpness. The primary use of this film was for making silhouette mattes and special fx traveling mattes at motion picture labs. Discontinued by Kodak. DX coded.",USA,135-24
FPP,Eastman Kodak Hi-Fi 2374,available,P,50,B&W,Print,"High contrast, panchromatic film designed for recording variable-area sound track negatives with a tungsten light source, and/or producing digital sound track negatives. Includes the words ""KODAK Safety Film"", the strip number, and year symbol located in the center, along the length of the film every 3-5 frames.",USA,135-24
FPP,Emulsion X,available,T?,100,B&W,Print,"Panchromatic film with a gritty, grindy, grainy soft focus vintage look. Has a red tinted, age related, base fog after processing. Unknown origin",?,135-36
FPP,S 200 iso,available,T,200,B&W,Print,"Surveillance film, the film has a wonderful latitude and is perfect for general use or long exposures.",USA,135-24
FPP,Film Love (Hearts) /Film Love (Shamrocks),available,?,200,B&W,Print,"Surveillance film, with wide exposure latitude, in 'hearts' or 'shamrocks' packaging",USA,135-24
FPP,Dracula,available,P,64,B&W,Print,Super panchromatic negative fine grain film on a 0.1mm polyester base with a spectral sensitivity to up to 750 nm.,?,"135–24, 120"
FPP,WolfMan,available,T,100,B&W,Print,Panchromatic film with medium to low grain and high resolving power. Same as FPP Cine 16mm BW 100 film emulsion.,?,"135–24, 120, 620"
FPP,Frankenstein,available,T,200,B&W,Print,"Medium speed, medium grain panchromatic film with great tonal range. Same as FPP Cine 16mm BW film emulsion.",?,"135–24, 120, 620, 4x5"
FPP,Let It Snow,available,P,100,B&W,Print,"Super panchromatic medium speed film, Svema foto 100.",Belgium,135-24
FPP,Derev Pan 100,available,P,100,B&W,Print,Panchromatic aerial surveillance film with good exposure latitude and extremely sharp fine grain.,Ukraine,135-36
FPP,Derev Pan 200,available,P,200,B&W,Print,"Panchromatic aerial surveillance film, moderately red sensitive with terrific separation of green and blue tones and extremely sharp, very good exposure latitude.",Ukraine,135-36
FPP,Derev Pan 400,available,P,400,B&W,Print,Panchromatic aerial surveillance film with good exposure latitude and extremely sharp fine grain.,Ukraine,135-36
FPP,BW 100,available,T,100,B&W,Print,ORWO un54 panchromatic medium speed motion picture stock converted for still film use.,Germany,135-24
FPP,Tasma NK-2,available,P,100,B&W,Print,Panchromatic cine film,Russia,135-24
FPP,New Classic EZ400,available,T,400,B&W,Print,"Panchromatic black and white negative film, cassette packaged in kraft paper containers.",?,135-36
FPP,X2,available,T,200,B&W,Print,Eastman Double-X Negative Film 5222 / 7222 motion picture film. Medium-speed panchromatic negative film,USA,135-24
FPP,Svema FN64,available,P,64,B&W,Print,Panchromatic black and white negative film with spectral sensitivity that extends into near infrared (up to 750 nm). Same as 'Dracula.',Ukraine,135-24
FPP,Svema Foto 100,available,P,100,B&W,Print,"Panchromatic, fine grain black and white negative film with spectral sensitivity extends into near infrared (up to 750 nm). Same as 'Let It Snow.'",Ukraine,135-24
FPP,Svema Foto 200,available,P,200,B&W,Print,Panchromatic black and white negative film with spectral sensitivity that extends into near infrared (up to 750 nm).,Ukraine,135-24
FPP,Svema Foto 400,available,P,400,B&W,Print,"Panchromatic black and white negative film with increased red sensitivity. The film also offers a good separation of green shades, and has a wide exposure latitude.",Ukraine,135-24
FILM Ferrania,Orto,04.2023-,P,50,B&W,Print,"Orthochromatic film, similar characteristics to P30 but sensitised for blue/green colours associated with Ortho films of the 1920s",Italy,"135–36, 120"
FILM Ferrania,P30,11.2019-,P,80,B&W,Print,Classic 1960s B&W panchromatic motion picture film for still photography. Production version.,Italy,"135–36, 120"
Cinestill,50D,2015-,T,50,C-41,Print,Daylight balanced Colour Negative film (Kodak 5203 Vision 3 50D),USA,"135–36, 120"
Cinestill,400D,2022-,T,400,C-41,Print,"Daylight balanced Colour Negative film featuring a soft color palette with natural saturated color and rich, warm skin tones. Stated to be 'not a current film stock but based on advanced technology found in motion picture emulsions' but speculation is that the film is derived from Kodak 5207 Vision 3 250D - ISO 250 in native ECN-2 chemistry. A 'film backer' supported its production in 3 formats for delivery by Summer 22.",USA,"135–36, 120, 4x5"
Cinestill,800T,2013-,T,800,C-41,Print,Tungsten balanced Colour Negative film (Kodak 5219 Vision 3 500T - ISO 500 in native ECN-2 chemistry),USA,"135–36, 120"
Cinestill,Red Rum,2021-,T,200,C-41,Print,Reverse rolled Cinestill 800T film to give 'red-scale' effect,USA,120
Cinestill,bwXX,2015-,T,250,B&W,Print,A classic B&W film stock left relatively unchanged since its release in 1959 for still and motion picture use (Kodak double-x 5222). Medium format was added in May 2021.,USA,"135–36, 120"
CatLABS,X FILM 80,2019-,T?,80*,B&W,Print,"Traditional black and white film with fine grain, moderate contrast and deep tonal range. *E.I of 80, can also be shot at 100 ISO. Supplied in the same formats as Shanghai GP3, CatLABS confirmed that the roll films are converted by Shanghai after GP3 branded tape was found on rolls.",China,"120, 4x5"", 8x10"""
CatLABS,X FILM 320,2019-,T,320,B&W,Print,"Medium-speed film, with distinct grain quality, contrast and tonal range, wider exposure latitude up to EI of 1600. Hand rolled onto reloadable cassettes, film edge markings state '5222' indicating this to be Kodak Double-X film stock",USA,135
CatLABS,X FILM 320 Pro,2022-,P,320,B&W,Print,"Medium-speed film, with distinct grain quality, contrast and tonal range, wide exposure latitude up to EI of 1600",USA/EU,"135, 120"
AGFA PHOTO,APX 100,2013-,T,100,B&W,Print,General purpose panchromatic film. Similar to Kentmere 100. (A film nearer the original AGFA APX 100 is ADOX Silvermax/SCALA),UK,135-36
AGFA PHOTO,APX 400,2013-,T,400,B&W,Print,General purpose panchromatic film. Similar to Kentmere 400.,UK,135-36
AGFA,Copex Rapid,available,P,50,B&W,Print,AGFA Copex Rapid A.H.U. (Anti Halation Underlayer) (EPM Imagelink HS) is a high resolution black and white Panchromatic microfilm. (Converted by Maco Photo Products) See also SPUR DSX.,Belgium & Germany,"135–36, 120"
ADOX,Color Mission Helios,TBC,?,3,C-41,Print,Upcoming simplified 4 layer colour film with low iso sensitivity,Germany,"135-36, Sheet film"
ADOX,Color Mission 200,02.2022-,?,200,C-41,Print,One batch of colour film co-researched with and coated for ADOX with finite supply. Vibrant colours. Proceeds to fund R&D for in-house production of a colour film expected to take 4 years.,Germany,135-36
ADOX,SCALA 50,2019-,P,50,B&W,Slide,Same film as the HR-50 but rebranded to show its suitability for reversal process. Super-panchromatic ultra fine grain - Agfa-Gevaert Aviphot 80 modified to enhance usability.,Belgium/ Germany,135-36
ADOX,CMS 20 II PRO,available,P,20,B&W,Print,"Agfa-Gevaert Copex HDP (High Definition Pan) (Now branded as EPM Imagelink HD)  microfilm converted & packaged by ADOX (See also SPUR UR). ""No other film is sharper, no other film is more finegrained, no other film resolves more lines per mm (up to 800 L /mm)."" Needs special developer to manage extreme contrast. #As of 2019 120 is out of stock.",Belgium/ Germany,"135–36, 120#, 4x5"""
ADOX,HR-50,2018-,P,50,B&W,Print,Super-panchromatic ultra fine grain - Agfa-Gevaert Aviphot 80 modified to enhance usability. May also be used as an infra-red film with suitable filtration. Launched at Photokina in September 2018.,Belgium/ Germany,"135–36, 120, 4x5"""
ADOX,CHS 100 II,2013-2016 & 2018-,P,100,B&W,Print,"Ortho-panchromatic emulsion from 1950s re-introduced as a modern cascade coating for ADOX (Fotoimpex) in 2013. Following test coating at Marly, sheet film was re-introduced in 2018 and 135 format in 2020. 120 film in 2023.",Germany,"135–36, 120, Sheet film"
